SiteID,LocationName,Date,DepthFrom,Parameter,Value,Sample_Depth
HL030557_INT,Lake Rotoehu at Site 3,2011-01-17T12:00:00Z,0,Chla (mg/m3),8.7,Top
HL030557_INT,Lake Rotoehu at Site 3,2011-02-14T12:00:00Z,0,Chla (mg/m3),3.2,Top
HL030557_INT,Lake Rotoehu at Site 3,2011-03-24T12:00:00Z,0,Chla (mg/m3),9.3,Top
HL030557_INT,Lake Rotoehu at Site 3,2011-04-19T12:00:00Z,0,Chla (mg/m3),7.1,Top
HL030557_INT,Lake Rotoehu at Site 3,2011-05-22T12:00:00Z,0,Chla (mg/m3),12.8,Top
HL030557_INT,Lake Rotoehu at Site 3,2011-06-19T12:00:00Z,0,Chla (mg/m3),6.9,Top
HL030557_INT,Lake Rotoehu at Site 3,2011-07-18T12:00:00Z,0,Chla (mg/m3),6.1,Top
HL030557_INT,Lake Rotoehu at Site 3,2011-08-15T12:00:00Z,0,Chla (mg/m3),9.4,Top
HL030557_INT,Lake Rotoehu at Site 3,2011-09-20T12:00:00Z,0,Chla (mg/m3),9.9,Top
HL030557_INT,Lake Rotoehu at Site 3,2011-10-24T12:00:00Z,0,Chla (mg/m3),4.2,Top
HL030557_INT,Lake Rotoehu at Site 3,2011-11-13T12:00:00Z,0,Chla (mg/m3),4,Top
HL030557_INT,Lake Rotoehu at Site 3,2011-12-20T12:00:00Z,0,Chla (mg/m3),4.5,Top
HL030557_INT,Lake Rotoehu at Site 3,2012-01-16T12:00:00Z,0,Chla (mg/m3),3,Top
HL030557_INT,Lake Rotoehu at Site 3,2012-02-21T12:00:00Z,0,Chla (mg/m3),3.5,Top
HL030557_INT,Lake Rotoehu at Site 3,2012-03-27T12:00:00Z,0,Chla (mg/m3),5.8,Top
HL030557_INT,Lake Rotoehu at Site 3,2012-04-16T12:00:00Z,0,Chla (mg/m3),5.4,Top
HL030557_INT,Lake Rotoehu at Site 3,2012-05-14T12:00:00Z,0,Chla (mg/m3),12.8,Top
HL030557_INT,Lake Rotoehu at Site 3,2012-06-24T12:00:00Z,0,Chla (mg/m3),8.6,Top
HL030557_INT,Lake Rotoehu at Site 3,2012-07-17T12:00:00Z,0,Chla (mg/m3),10.2,Top
HL030557_INT,Lake Rotoehu at Site 3,2012-08-13T12:00:00Z,0,Chla (mg/m3),8.7,Top
HL030557_INT,Lake Rotoehu at Site 3,2012-09-17T12:00:00Z,0,Chla (mg/m3),6.4,Top
HL030557_INT,Lake Rotoehu at Site 3,2012-10-16T12:00:00Z,0,Chla (mg/m3),5.8,Top
HL030557_INT,Lake Rotoehu at Site 3,2012-11-12T12:00:00Z,0,Chla (mg/m3),2.34,Top
HL030557_INT,Lake Rotoehu at Site 3,2012-12-05T12:00:00Z,0,Chla (mg/m3),3.33,Top
HL030557_INT,Lake Rotoehu at Site 3,2013-01-14T12:00:00Z,0,Chla (mg/m3),2.8,Top
HL030557_INT,Lake Rotoehu at Site 3,2013-02-18T12:00:00Z,0,Chla (mg/m3),5.4,Top
HL030557_INT,Lake Rotoehu at Site 3,2013-03-18T12:00:00Z,0,Chla (mg/m3),4.9,Top
HL030557_INT,Lake Rotoehu at Site 3,2013-04-21T12:00:00Z,0,Chla (mg/m3),6.7,Top
HL030557_INT,Lake Rotoehu at Site 3,2013-05-13T12:00:00Z,0,Chla (mg/m3),5.3,Top
HL030557_INT,Lake Rotoehu at Site 3,2013-06-16T12:00:00Z,0,Chla (mg/m3),3.7,Top
HL030557_INT,Lake Rotoehu at Site 3,2013-07-14T12:00:00Z,0,Chla (mg/m3),9.5,Top
