site,date,site_visit,variables,action,comments
f_Rotoehu,2011-04-27T22:30:00Z,TRUE,all,deployed,Deployed
f_Rotoehu,2011-05-06T00:00:00Z,TRUE,?,?,All
f_Rotoehu,2012-04-13T00:00:00Z,TRUE,NA,NA,Calibrated DO
f_Rotoehu,2013-06-25T14:00:00Z,TRUE,?,removed,All
f_Rotoehu,2013-06-28T13:36:00Z,TRUE,NA,deployed,pH sensor added
f_Rotoehu,2013-10-14T00:00:00Z,TRUE,all,cleaned,Cleaned sensors
f_Rotoehu,2013-12-18T00:00:00Z,TRUE,all,cleaned,Cleaned sensors
f_Rotoehu,2013-12-18T00:00:00Z,TRUE,NA,NA,Calibrated pH
f_Rotoehu,2013-12-20T00:00:00Z,TRUE,NA,rebooted,NA
f_Rotoehu,2014-01-31T00:00:00Z,FALSE,NA,NA,Buoy not working Phyco starts drifting
f_Rotoehu,2014-02-04T00:00:00Z,TRUE,NA,rebooted,NA
f_Rotoehu,2014-02-20T00:00:00Z,TRUE,all,cleaned,Cleaned sensors
f_Rotoehu,2014-03-14T00:00:00Z,TRUE,all,cleaned,Cleaned sensors
f_Rotoehu,2014-04-14T14:45:00Z,TRUE,NA,removed,Removed for new sensor harness setup
f_Rotoehu,2014-04-30T07:15:00Z,TRUE,NA,deployed,Redeployed
f_Rotoehu,2014-05-02T00:00:00Z,TRUE,all,cleaned,"Cleaned both buoys, fixed buoy-data logging but not sending data"
f_Rotoehu,2014-05-14T00:00:00Z,TRUE,NA,NA,Tried to fix modem in fixed buoy
f_Rotoehu,2014-05-16T00:00:00Z,TRUE,all,cleaned,Replaced modem in fixed buoy
f_Rotoehu,2014-06-28T00:00:00Z,FALSE,NA,NA,Problem with phyco & chl
f_Rotoehu,2014-07-02T00:00:00Z,FALSE,NA,NA,Fluorometers functional again
f_Rotoehu,2014-07-21T00:00:00Z,FALSE,NA,NA,Buoy not working
f_Rotoehu,2014-08-22T00:00:00Z,FALSE,NA,NA,Buoy back online
f_Rotoehu,2014-10-21T00:00:00Z,TRUE,all,cleaned,Cleaned and rebooted
f_Rotoehu,2014-11-13T00:00:00Z,TRUE,all,cleaned,"Sensors cleaned, CHl very dirty, moved in bracket and not getting wiped, pH looks like it was missed?"
f_Rotoehu,2014-11-24T00:00:00Z,FALSE,NA,NA,"Phycocyanin faulty, Drifts out of range, stuck at FS"
f_Rotoehu,2014-12-19T00:00:00Z,TRUE,all,cleaned,"Sensors cleaned, wiper removed"
f_Rotoehu,2015-01-14T00:00:00Z,TRUE,all,cleaned,"Sensors cleaned, Wiper bracket broken"
f_Rotoehu,2015-01-21T00:00:00Z,TRUE,all,cleaned,"Sensors cleaned, wiper reinstalled, pH calibrated, Wiper fixed"
f_Rotoehu,2015-01-30T00:00:00Z,TRUE,all,cleaned,"Sensors cleaned, wiper brush replaced"
f_Rotoehu,2014-05-06T00:00:00Z,FALSE,c_ph,NA,Step change in pH?
f_Rotoehu,2016-03-14T00:00:00Z,?,NA,NA,"pH reference measurements taken, DO sensors calibrated, was this in the lab?"
f_Rotoehu,2017-06-23T00:00:00Z,?,f_chl,NA,CHl value on HydroTel is presently 10X higher than on logger.
