type,abbr,full_text,parsed,label
met,h_rh,relative_humidity_%,"Relative~humidity~(""%"")",Relative humidity (%)
met,pr_baro,barometric_pressure_hPa,Barometric~pressure~(hPa),Barometric pressure (hPa)
met,r_clrsky,cleasky_shortwave_radiation_W/m^2,Clearsky~shortwave~radiation~(W~m^-2),Clearsky shortwave radiation (W/m²)
met,r_swd,shortwave_radiation_W/m^2,Shortwave~radiation~(W~m^-2),Shortwave radiation (W/m²)
met,t_air,air_temperature_degC,Air~temperature~(degree*C),Air temperature (°C)
met,w_dir,wind_direction_deg,Wind~direction~(degree*),Wind direction (°)
met,w_gust,wind_gust_m/s,Wind~gust~(m~s^-1),Wind gust (m/s)
met,w_spd,wind_speed_kts,Wind~speed~(kts),Wind speed (kts)
met,pp_rain,rainfall_mm/hour,Rainfall~(mm~hr^-1),Rainfall (mm/hr)
pro,c_cond,conductivity_ÂµS/cm,Conductivity~(ÂµS~cm^-1),Conductivity (µS/cm)
pro,c_spcond,specific_conductance_ÂµS/cm,Specific~conductance~(ÂµS~cm^-1),Specific conductance (µS/cm)
pro,c_do,dissolved_oxygen_mg/L,Dissolved~oxygen~(mg~L^-1),Dissolved oxygen (mg/L)
pro,c_do_sat,dissolved_oxygen_%,"Dissolved~oxygen~(""%"")",Dissolved oxygen (%)
pro,c_orp,oxidation_reduction_potential_mV,ORP~(mv),ORP (mv)
pro,c_pco2,pCO2_ppm,pCO2~(ppm),pCO2 (ppm)
pro,c_ph,pH,pH,pH
pro,c_phraw,pH_raw,pH raw,pH raw
pro,f_chl,chlorophyll_fluorescnece_RCFU,Chlorophyll~(RCFU),Chlorophyll (RCFU)
pro,f_phyc,phycocyanin_fluorescence_RPFU,Phycocyanin~(RPFU),Phycocyanin (RPFU)
pro,f_tryp,tryptophan_fluorescence_RFU,Tryptophan~(RFU),tryptophan (RFU)
pro,n_turb,turbidity_FNU,Turbidity~(FNU),Turbidity (FNU)
pro,pr_dpt,sensor_depth_m,Sensor~depth~(m),Sensor depth (m)
pro,p_dpt_raw,sensor_depth_uncompensated_m,Sensor~depth~raw~(m),Sensor depth raw (m)
pro,s_trout,trout_stress_index,Trout~stress,Trout stress
pro,t_wtr,water_temperature_degC,Water~temperature~(degree*C),Water temperature (°C)
